英単語(cluster)	発音記号	意味	例文（ほとんど同じ単語を使用したもの）	例文（少し単語を変更したもの）	補足説明（1単語の意味や一緒に覚えたほうが良い単語等）	セクション
ask for a late check-out	æsk fɔr ə leɪt tʃɛk-aʊt	レイトチェックアウト（遅めの退室）をお願いする	I'm going to ask for a late check-out tomorrow.	They agreed to a late check-out.	late check-out: 通常より遅くチェックアウトすること。	実用旅行
call the front desk	kɔl ðə frʌnt dɛsk	フロントに電話する	If you need anything, just call the front desk.	I called the front desk to complain about the noise.	front desk: （ホテルの）フロント、受付	実用旅行
make up the room	meɪk ʌp ðə rum	部屋を掃除する（ベッドメイクする）	Could you make up the room while we are out?	The maid made up the room.	make up: 部屋を整える	実用旅行
leave the key card in the room	liv ðə ki kɑrd ɪn ðə rum	ルームキー（カード）を部屋に置いたままにする	Just leave the key card in the room when you check out.	I accidentally left the key card in the room.	key card: カードキー	実用旅行
Is breakfast included?	ɪz ˈbrɛkfəst ɪnˈkludəd	朝食は含まれていますか？	Is breakfast included in the room rate?	I want to know if breakfast is included.	include: 含む	実用旅行
Could you keep my luggage?	kʊd ju kip maɪ ˈlʌgɪdʒ	荷物を預かっていただけますか？	Could you keep my luggage until 3 PM?	They kept my luggage safely.	keep: 預かる（leave my bags と同じ状況で使える）。	実用旅行
The Wi-Fi is spotty.	ðə ˈwaɪˌfaɪ ɪz ˈspɑti	Wi-Fiの電波が途切れ途切れだ（不安定だ）。	The Wi-Fi is spotty in my room.	Cell phone service is spotty in the mountains.	spotty: まだらの、ムラがある、（電波が）不安定な	実用旅行
Do you have a plug adapter?	du ju hæv ə plʌg əˈdæptər	変換プラグはありますか？	I forgot mine, do you have a plug adapter?	I bought a plug adapter at the airport.	plug adapter: 電源の変換プラグ	実用旅行
call for room service	kɔl fɔr rum ˈsɜrvəs	ルームサービスを呼ぶ（頼む）	Let's stay in and call for room service.	He called for room service to order dinner.		実用旅行
a double bed or twin beds	ə ˈdʌbəl bɛd ɔr twɪn bɛdz	ダブルベッドかツインベッド	Would you like a double bed or twin beds?	We requested a room with twin beds.		実用旅行
ocean view room	ˈoʊʃən vju rum	オーシャンビュー（海が見える）の部屋	We paid extra for an ocean view room.	The ocean view room was spectacular.		実用旅行
My room hasn't been cleaned yet.	maɪ rum ˈhæzənt bɪn klind jɛt	私の部屋がまだ掃除されていません。	I came back, but my room hasn't been cleaned yet.	I noticed my room hasn't been cleaned yet.	外出から戻った時に清掃が入っていなかった時のクレーム。	実用旅行
run out of toilet paper	rʌn aʊt ʌv ˈtɔɪlət ˈpeɪpər	トイレットペーパーがなくなる	We have run out of toilet paper.	Can you bring more? We ran out of toilet paper.	run out of: 使い果たす、切らす	実用旅行
request a wake-up call	rɪˈkwɛst ə ˈweɪk-ʌp kɔl	モーニングコールをお願いする	I'd like to request a wake-up call for 6 AM.	He requested a wake-up call.	wake-up call: モーニングコール（和製英語なので通じません）。	実用旅行
noise from the next room	nɔɪz frʌm ðə nɛkst rum	隣の部屋からの騒音	I can't sleep because of the noise from the next room.	We complained about the noise from the next room.		実用旅行
What time is check-out?	wʌt taɪm ɪz tʃɛk-aʊt	チェックアウトは何時ですか？	Excuse me, what time is check-out?	Do you know what time check-out is?		実用旅行
fill the bathtub	fɪl ðə ˈbæθtʌb	バスタブにお湯をはる	I'm going to fill the bathtub and relax.	She filled the bathtub with hot water.	fill: 満たす。bathtub: 浴槽	実用旅行
a safe box in the room	ə seɪf bɑks ɪn ðə rum	部屋にある金庫	Put your passport in a safe box in the room.	I couldn't open the safe box in the room.	safe: 金庫（名詞）。	実用旅行
complimentary breakfast	ˌkɑmpləˈmɛntəri ˈbrɛkfəst	無料の朝食	The hotel offers a complimentary breakfast.	Enjoy our complimentary breakfast from 7 AM.	complimentary: 無料の、サービスで提供される（freeより上品な表現）。	実用旅行
book a guided tour	bʊk ə ˈgaɪdəd tʊr	ガイド付きツアーを予約する	We should book a guided tour of the museum.	They booked a guided tour online.	guided: ガイド付きの	実用旅行
Can I get a...	kæn aɪ gɛt ə	〜をください	Can I get a cheeseburger and fries?	Can I get a tall latte?	カフェやファストフードでの注文時の「超・定番」の型（I would like...より圧倒的に使われます）。	実用旅行
I'll go with this one.	aɪl goʊ wɪð ðɪs wʌn	これにします（これを選びます）	After looking at the menu, I'll go with this one.	I think I'll go with the steak.	メニューを指差しながら注文する時の、こなれたカッコいい表現。	実用旅行
dressing on the side	ˈdrɛsɪŋ ɑn ðə saɪd	ドレッシングは別添えで	I'll have a salad with dressing on the side.	Can I get the sauce on the side?	on the side: （ソースなどを）別のお皿に入れて出す（自分のペースでかけたい時に便利）。	実用旅行
no cilantro, please	noʊ sɪˈlɑntroʊ, pliz	パクチー抜きでお願いします	I'd like the tacos, but no cilantro, please.	No onions, please.	no 〇〇, please: 〇〇抜きで。cilantro（シラントロ）はパクチーのこと（アメリカ英語）。	実用旅行
Make it two.	meɪk ɪt tu	（同じものを）2つで（私にも同じものを）。	I'll have a beer. "Make it two."	That looks good, make it two, please.	一緒に行った人が頼んだものに乗っかる時の粋なフレーズ。	実用旅行
We're still working on it.	wɪr stɪl ˈwɜrkɪŋ ɑn ɪt	まだ食べてます（食事中です）。	Are you finished? "No, we're still working on it."	Take your time, we're still working on it.	お皿を下げられそうになった時の防御フレーズ（まだそれに取り組んでいる＝まだ食べている）。	実用旅行
Can we get separate checks?	kæn wi gɛt ˈsɛpərət tʃɛks	個別会計（別々のお会計）にできますか？	Can we get separate checks, please?	They asked for separate checks.	separate: 別々の。check: お会計（アメリカ英語。イギリスでは bill）。	実用旅行
tap water is fine	tæp ˈwɔtər ɪz faɪn	水道水で大丈夫です	No bottled water, tap water is fine.	Tap water is fine for me, thanks.	海外では有料のミネラルウォーターを勧められるので、無料のお水で良い時に使う。	実用旅行
grab a quick bite	græb ə kwɪk baɪt	サクッと食べる（軽く食事を済ませる）	Let's grab a quick bite before the movie.	I don't have time, so I'll just grab a quick bite.	grab a bite: 軽く食べる、食事をつまむ	実用旅行
for here or to go	fɔr hɪr ɔr tu goʊ	店内で食べますか、お持ち帰りですか？	For here or to go? "To go, please."	I'll have a coffee to go.	ファストフードやカフェのレジで100%聞かれる質問。（テイクアウトは和製英語）	実用旅行
ask for a doggy bag	æsk fɔr ə ˈdɔgi bæg	（持ち帰り用の）容器をもらう	The portion is huge, I'll ask for a doggy bag.	Don't hesitate to ask for a doggy bag.	海外では食べ残しを持ち帰る箱（doggy bag や to-go box）を頼むのが一般的です。	実用旅行
split the dessert	splɪt ðə dɪˈzɜrt	デザートをシェアする（分ける）	We are full, but let's split the dessert.	Would you like to split the dessert?	split: 分ける	実用旅行
allergic to peanuts	əˈlɜrdʒɪk tu ˈpinəts	ピーナッツアレルギーである	I am highly allergic to peanuts.	Does this contain milk? I'm allergic to dairy.	be allergic to: 〜に対してアレルギーがある（命に関わるのでレストランで超重要です）。	実用旅行
What's on tap?	wʌts ɑn tæp	（生ビールの）タップには何がありますか？	What's on tap tonight?	They have five local beers on tap.	on tap: （樽から注ぐ）生ビールで。バーで生ビールの種類を聞く時の決まり文句。	実用旅行
Keep a tab open.	kip ə tæb ˈoʊpən	ツケにしておく（カードを預けて会計を後でまとめる）	I'll order more later, so please keep a tab open.	Do you want to keep a tab open or close out?	tab: 勘定書き。バーで最初にカードを渡し、飲むたびに会計を合算してもらうシステム。	実用旅行
Close the tab.	kloʊz ðə tæb	お会計を締める（精算する）	I'm ready to leave. Can I close the tab?	He closed the tab and left a tip.	預けていたカードで精算して店を出る時のフレーズ。	実用旅行
I'll have what he's having.	aɪl hæv wʌt hiz ˈhævɪŋ	彼が食べているのと同じものをください。	That looks delicious. I'll have what he's having.	She told the waiter, "I'll have what she's having."	他のテーブルの人が食べている美味しそうなものを指差して注文する荒技。	実用旅行
skip the appetizer	skɪp ði ˈæpəˌtaɪzər	前菜を抜く（頼まない）	We are not very hungry, let's skip the appetizer.	I will skip the appetizer and go straight to the main course.	appetizer: 前菜（メインの前に食べる軽いもの）。	実用旅行
a table for two	ə ˈteɪbəl fɔr tu	2名用の席	Hi, a table for two, please.	We'd like a table for four.	レストランに入店した時の第一声。指を立てて言うだけで通じます。	実用旅行
Do we need a reservation?	du wi nid ə ˌrɛzərˈveɪʃən	予約は必要ですか？	Do we need a reservation for tonight?	The restaurant is popular, so you might need a reservation.	reservation: 予約	実用旅行
Is it too spicy?	ɪz ɪt tu ˈspaɪsi	それは辛すぎますか？	I'm not good with hot food. Is it too spicy?	She asked the waiter if it is too spicy.	spicy: 辛い、スパイスが効いた	実用旅行
local specialty	ˈloʊkəl ˈspɛʃəlti	地元の名物（特産品）	You must try their local specialty.	We ordered a local specialty.	specialty: 名物、特産	実用旅行
highly recommended	ˈhaɪli ˌrɛkəˈmɛndəd	強くおすすめされる（大絶賛の）	This restaurant is highly recommended by locals.	The chocolate cake is highly recommended.	highly: 大いに	実用旅行
I'm full.	aɪm fʊl	お腹いっぱいです。	I can't eat another bite. I'm full.	Thank you, but I'm completely full.		実用旅行
Could we see the menu again?	kʊd wi si ðə ˈmɛnju əˈgɛn	もう一度メニューを見せてもらえますか？	Could we see the menu again to order dessert?	They asked to see the menu again.		実用旅行
We are ready to order.	wi ɑr ˈrɛdi tu ˈɔrdər	注文の準備ができました（注文をお願いします）。	Excuse me, we are ready to order.	Are you ready to order?	ウェイターを呼んで注文を始める時の合図。	実用旅行
My order hasn't come yet.	maɪ ˈɔrdər ˈhæzənt kʌm jɛt	注文したものがまだ来ていません。	Excuse me, my order hasn't come yet.	We've been waiting for 30 minutes and our order hasn't come yet.		実用旅行
This isn't what I ordered.	ðɪs ˈɪzənt wʌt aɪ ˈɔrdərd	これは私が注文したものと違います。	Sorry, but this isn't what I ordered.	He politely said, "This isn't what I ordered."	違う料理が運ばれてきた時の冷静なクレーム。	実用旅行
skip the line	skɪp ðə laɪn	列に並ばずに入る	If you buy a VIP ticket, you can skip the line.	We paid extra to skip the line.	観光地の「優先入場」などを指す。	実用旅行
Can I get a refill?	kæn aɪ gɛt ə riˈfɪl	お代わりをもらえますか？	Can I get a refill on my coffee?	Sodas come with a free refill.	refill: （飲み物などの）お代わり、補充	実用旅行
